camera_name,R,t
insta360 one rs,"[1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0]","[0.0, 0.0, 0.0]"
galaxy s24 fe,"[0.46234336483084665, 0.17664923731583954, -0.8689267287594642, 0.30876982054614543, -0.9506951827656952, -0.02898046559326411, 0.8312038323520847, 0.2548994241300553, 0.49409156303399265]","[1.4482952984630282, 0.008629815970697646, 0.03493263153747739]"
galaxy tab s9,"[-0.5867404022946311, -0.4175196176496409, -0.6938393684368397, 0.23597711215223618, -0.9078000833952037, 0.3467186339497081, 0.7746292680085257, -0.0397036203054398, -0.63116805977427]","[0.6329085130351111, 0.0957390492981336, 1.447928792287963]"
